日期,車種車次,出發站,抵達站,始發站,終點站,出發時間,抵達時間,行駛時長,經由,全票,孩童票,敬老票,訂票
20210828,區間3137,3360,4220,彰化,潮州,05:01,07:31,2 小時 30 分,-,$ 208,$ 104,$ 104,
20210828,莒光501,3360,4220,彰化,潮州,05:25,07:57,2 小時 32 分,-,$ 249,$ 125,$ 125,可
20210828,自強101,3360,4220,臺中,潮州,05:54,07:44,1 小時 50 分,山線,$ 323,$ 162,$ 162,可
20210828,莒光751,3360,4220,彰化,臺東,06:12,08:27,2 小時 15 分,-,$ 249,$ 125,$ 125,可
20210828,區間3147,3360,4220,后里,潮州,06:25,09:02,2 小時 37 分,山線,$ 208,$ 104,$ 104,
20210828,自強371,3360,4220,臺中,臺東,07:00,08:51,1 小時 51 分,山線,$ 323,$ 162,$ 162,可
20210828,區間3157,3360,4220,新竹,潮州,07:33,10:08,2 小時 35 分,山線,$ 208,$ 104,$ 104,
20210828,自強167,3360,4220,彰化,潮州,08:15,10:03,1 小時 48 分,-,$ 323,$ 162,$ 162,可
20210828,區間3167,3360,4220,后里,潮州,08:31,11:20,2 小時 49 分,山線,$ 208,$ 104,$ 104,
20210828,莒光1,3360,4220,臺北,臺北-環島,08:42,10:23,1 小時 41 分,山線,$ 249,$ 125,$ 125,可
20210828,自強103,3360,4220,七堵,潮州,09:15,10:52,1 小時 37 分,海線,$ 323,$ 162,$ 162,可
20210828,區間3177,3360,4220,銅鑼,潮州,09:24,12:08,2 小時 44 分,山線,$ 208,$ 104,$ 104,
20210828,自強105,3360,4220,基隆,屏東,09:36,11:25,1 小時 49 分,山線,$ 323,$ 162,$ 162,可
20210828,區間3187,3360,4220,后里,潮州,10:21,13:02,2 小時 41 分,山線,$ 208,$ 104,$ 104,
20210828,自強113,3360,4220,七堵,屏東,10:58,12:42,1 小時 44 分,山線,$ 323,$ 162,$ 162,可
20210828,莒光507,3360,4220,七堵,新左營,11:03,13:29,2 小時 26 分,海線,$ 249,$ 125,$ 125,可
20210828,區間3197,3360,4220,后里,潮州,11:21,13:55,2 小時 34 分,山線,$ 208,$ 104,$ 104,
20210828,自強115,3360,4220,基隆,屏東,11:36,13:18,1 小時 42 分,山線,$ 323,$ 162,$ 162,可
