日期,車種車次,出發時間,抵達時間,經由,訂票
2021-09-30,區間 2114,05:00,05:23,山線,不可
2021-09-30,自強 102,05:40,05:54,山線,可
2021-09-30,區間 2116,05:46,06:15,山線,不可
2021-09-30,區間 2120,05:56,06:18,山線,不可
2021-09-30,區間 2122,06:05,06:28,山線,不可
2021-09-30,區間 2124,06:24,06:46,山線,不可
2021-09-30,區間 2128,06:43,07:05,山線,不可
2021-09-30,區間 2134,07:03,07:30,山線,不可
2021-09-30,自強 170,07:08,07:22,山線,可
2021-09-30,區間 2138,07:32,08:01,山線,不可
2021-09-30,普悠瑪 280,07:40,07:52,山線,可
2021-09-30,區間快 2004,07:54,08:14,山線,不可
2021-09-30,區間 2144,08:14,08:37,山線,不可
2021-09-30,自強 108,08:26,08:40,山線,可
2021-09-30,區間 2146,08:32,08:56,山線,不可
2021-09-30,區間 3118,08:49,09:11,山線,不可
2021-09-30,區間 2154,09:17,09:39,山線,不可
2021-09-30,區間 3128,09:44,10:06,山線,不可
2021-09-30,區間 2164,10:15,10:37,山線,不可
2021-09-30,區間 2166,10:23,10:52,山線,不可
2021-09-30,自強 114,10:29,10:43,山線,可
2021-09-30,區間 3138,10:55,11:18,山線,不可
2021-09-30,區間 2174,11:15,11:37,山線,不可
2021-09-30,自強 116,11:29,11:43,山線,可
2021-09-30,區間 3148,11:49,12:11,山線,不可
2021-09-30,區間 2184,12:15,12:37,山線,不可
2021-09-30,自強 118,12:29,12:43,山線,可
2021-09-30,區間 3158,12:49,13:11,山線,不可
2021-09-30,區間 2190,13:02,13:25,山線,不可
2021-09-30,區間 2194,13:15,13:37,山線,不可
2021-09-30,自強 172,13:29,13:43,山線,可
2021-09-30,區間 3168,13:49,14:11,山線,不可
