車種車次,出發站,抵達站,日期,始發站,終點站,出發時間,抵達時間,行駛時長,經由,全票,孩童票,敬老票,訂票
區間2184,3360,1210,2021/02/24,嘉義,基隆,12:15,14:17,2 小時 2 分,山線,$ 153,$ 77,$ 77,
莒光510,3360,1210,2021/02/24,新左營,七堵,12:23,14:10,1 小時 47 分,海線,$ 183,$ 92,$ 92,可
自強118,3360,1210,2021/02/24,潮州,七堵,12:29,13:48,1 小時 19 分,山線,$ 237,$ 119,$ 119,可
區間2534,3360,1210,2021/02/24,彰化,新竹,12:58,15:00,2 小時 2 分,海線,$ 153,$ 77,$ 77,
區間2194,3360,1210,2021/02/24,嘉義,基隆,13:15,15:14,1 小時 59 分,山線,$ 153,$ 77,$ 77,
自強172,3360,1210,2021/02/24,潮州,花蓮,13:29,14:48,1 小時 19 分,山線,$ 237,$ 119,$ 119,可
莒光562,3360,1210,2021/02/24,潮州,花蓮,13:43,15:30,1 小時 47 分,海線,$ 183,$ 92,$ 92,可
區間2538,3360,1210,2021/02/24,彰化,北湖,13:58,16:00,2 小時 2 分,海線,$ 153,$ 77,$ 77,
區間2204,3360,1210,2021/02/24,嘉義,基隆,14:15,16:14,1 小時 59 分,山線,$ 153,$ 77,$ 77,
自強122,3360,1210,2021/02/24,潮州,基隆,14:29,15:48,1 小時 19 分,山線,$ 237,$ 119,$ 119,可
區間2214,3360,1210,2021/02/24,嘉義,基隆,15:04,17:11,2 小時 7 分,山線,$ 153,$ 77,$ 77,
莒光516,3360,1210,2021/02/24,潮州,七堵,15:08,16:54,1 小時 46 分,海線,$ 183,$ 92,$ 92,可
自強176,3360,1210,2021/02/24,潮州,瑞芳,15:12,16:31,1 小時 19 分,山線,$ 237,$ 119,$ 119,可
區間2542,3360,1210,2021/02/24,彰化,新竹,15:16,17:28,2 小時 12 分,海線,$ 153,$ 77,$ 77,
自強130,3360,1210,2021/02/24,彰化,基隆,15:54,17:37,1 小時 43 分,海線,$ 237,$ 119,$ 119,可
自強128,3360,1210,2021/02/24,屏東,基隆,16:00,17:18,1 小時 18 分,山線,$ 237,$ 119,$ 119,可
區間2224,3360,1210,2021/02/24,嘉義,基隆,16:07,18:19,2 小時 12 分,山線,$ 153,$ 77,$ 77,
區間2544,3360,1210,2021/02/24,彰化,新竹,16:16,18:27,2 小時 11 分,海線,$ 153,$ 77,$ 77,
區間2548,3360,1210,2021/02/24,彰化,新竹,16:56,18:58,2 小時 2 分,海線,$ 153,$ 77,$ 77,
自強134,3360,1210,2021/02/24,屏東,基隆,17:03,18:30,1 小時 27 分,山線,$ 237,$ 119,$ 119,可
區間2234,3360,1210,2021/02/24,嘉義,基隆,17:07,19:09,2 小時 2 分,山線,$ 153,$ 77,$ 77,
莒光554,3360,1210,2021/02/24,潮州,花蓮,17:25,19:20,1 小時 55 分,海線,$ 183,$ 92,$ 92,可
區間快2042,3360,1210,2021/02/24,員林,七堵,17:35,19:04,1 小時 29 分,山線,$ 153,$ 77,$ 77,
區間2552,3360,1210,2021/02/24,彰化,新竹,17:51,19:49,1 小時 58 分,海線,$ 153,$ 77,$ 77,
自強138,3360,1210,2021/02/24,屏東,七堵,17:55,19:14,1 小時 19 分,山線,$ 237,$ 119,$ 119,可
